REG;Région;DEP;CODCAN;CAN;Canton;NBCOM;PMUN;PTOT
84;Auvergne-Rhône-Alpes;01;01;0101;Ambérieu-en-Bugey;18;31885;32633
84;Auvergne-Rhône-Alpes;01;02;0102;Attignat;18;25552;26080
84;Auvergne-Rhône-Alpes;01;03;0103;Valserhône;12;21657;22090
84;Auvergne-Rhône-Alpes;01;04;0104;Belley;33;25322;25983
84;Auvergne-Rhône-Alpes;01;05;0105;Bourg-en-Bresse-1;2;35813;36987
84;Auvergne-Rhône-Alpes;01;06;0106;Bourg-en-Bresse-2;4;26644;27658
84;Auvergne-Rhône-Alpes;01;07;0107;Ceyzériat;22;26838;27428
84;Auvergne-Rhône-Alpes;01;08;0108;Châtillon-sur-Chalaronne;26;31157;31889
84;Auvergne-Rhône-Alpes;01;09;0109;Gex;7;33936;34675
84;Auvergne-Rhône-Alpes;01;10;0110;Plateau d’Hauteville;27;22039;22563
84;Auvergne-Rhône-Alpes;01;11;0111;Lagnieu;25;35533;36293
84;Auvergne-Rhône-Alpes;01;12;0112;Meximieux;15;34726;35295
84;Auvergne-Rhône-Alpes;01;13;0113;Miribel;8;30210;30731
84;Auvergne-Rhône-Alpes;01;14;0114;Nantua;17;21646;22456
84;Auvergne-Rhône-Alpes;01;15;0115;Oyonnax;2;25860;26366
84;Auvergne-Rhône-Alpes;01;16;0116;Pont-d'Ain;24;22358;22840
84;Auvergne-Rhône-Alpes;01;17;0117;Replonges;31;31348;32029
84;Auvergne-Rhône-Alpes;01;18;0118;Saint-Étienne-du-Bois;26;22946;23433
84;Auvergne-Rhône-Alpes;01;19;0119;Saint-Genis-Pouilly;4;40098;40818
84;Auvergne-Rhône-Alpes;01;20;0120;Thoiry;16;30736;31431
84;Auvergne-Rhône-Alpes;01;21;0121;Trévoux;12;34596;35530
84;Auvergne-Rhône-Alpes;01;22;0122;Villars-les-Dombes;25;35400;36093
84;Auvergne-Rhône-Alpes;01;23;0123;Vonnas;19;24989;25503
32;Hauts-de-France;02;01;0201;Bohain-en-Vermandois;31;21801;22143
32;Hauts-de-France;02;02;0202;Château-Thierry;21;27850;28432
32;Hauts-de-France;02;03;0203;Chauny;21;23692;24368
32;Hauts-de-France;02;04;0204;Essômes-sur-Marne;47;28814;29437
32;Hauts-de-France;02;05;0205;Fère-en-Tardenois;77;27573;28031
32;Hauts-de-France;02;06;0206;Villeneuve-sur-Aisne;76;26359;26950
32;Hauts-de-France;02;07;0207;Guise;45;22889;23287
32;Hauts-de-France;02;08;0208;Hirson;26;20540;20881
32;Hauts-de-France;02;09;0209;Laon-1;27;24554;25027
32;Hauts-de-France;02;10;0210;Laon-2;25;24876;25534
32;Hauts-de-France;02;11;0211;Marle;65;19390;19867
32;Hauts-de-France;02;12;0212;Ribemont;52;26024;26473
32;Hauts-de-France;02;13;0213;Saint-Quentin-1;25;28156;28822
32;Hauts-de-France;02;14;0214;Saint-Quentin-2;11;22963;23595
32;Hauts-de-France;02;15;0215;Saint-Quentin-3;9;27158;27564
32;Hauts-de-France;02;16;0216;Soissons-1;15;23170;23514
32;Hauts-de-France;02;17;0217;Soissons-2;13;29277;30013
32;Hauts-de-France;02;18;0218;Tergnier;24;28910;29460
32;Hauts-de-France;02;19;0219;Vervins;66;20892;21598
32;Hauts-de-France;02;20;0220;Vic-sur-Aisne;50;20873;21341
32;Hauts-de-France;02;21;0221;Villers-Cotterêts;76;29797;30648
84;Auvergne-Rhône-Alpes;03;01;0301;Bellerive-sur-Allier;11;19501;20063
84;Auvergne-Rhône-Alpes;03;02;0302;Bourbon-l'Archambault;28;16641;17010
84;Auvergne-Rhône-Alpes;03;03;0303;Commentry;24;17900;18353
84;Auvergne-Rhône-Alpes;03;04;0304;Cusset;4;17990;18618
84;Auvergne-Rhône-Alpes;03;05;0305;Dompierre-sur-Besbre;32;19743;20222
84;Auvergne-Rhône-Alpes;03;06;0306;Gannat;41;19883;20357
84;Auvergne-Rhône-Alpes;03;07;0307;Huriel;29;15615;15911
84;Auvergne-Rhône-Alpes;03;08;0308;Lapalisse;31;17733;18203
84;Auvergne-Rhône-Alpes;03;09;0309;Montluçon-1;4;15632;15969
84;Auvergne-Rhône-Alpes;03;10;0310;Montluçon-2;2;15200;15795
84;Auvergne-Rhône-Alpes;03;11;0311;Montluçon-3;15;17940;18440
84;Auvergne-Rhône-Alpes;03;12;0312;Montluçon-4;7;15930;16289
84;Auvergne-Rhône-Alpes;03;13;0313;Moulins-1;7;17551;18383
84;Auvergne-Rhône-Alpes;03;14;0314;Moulins-2;23;19163;19555
84;Auvergne-Rhône-Alpes;03;15;0315;Saint-Pourçain-sur-Sioule;22;18866;19241
84;Auvergne-Rhône-Alpes;03;16;0316;Souvigny;29;14844;15172
84;Auvergne-Rhône-Alpes;03;17;0317;Vichy-1;4;18377;18603
84;Auvergne-Rhône-Alpes;03;18;0318;Vichy-2;3;19206;19496
84;Auvergne-Rhône-Alpes;03;19;0319;Yzeure;6;17000;17658
93;Provence-Alpes-Côte d'Azur;04;01;0401;Barcelonnette;14;7715;8009
93;Provence-Alpes-Côte d'Azur;04;02;0402;Castellane;32;9819;10037
93;Provence-Alpes-Côte d'Azur;04;03;0403;Château-Arnoux-Saint-Auban;8;12506;12773
93;Provence-Alpes-Côte d'Azur;04;04;0404;Digne-les-Bains-1;7;12632;13233
93;Provence-Alpes-Côte d'Azur;04;05;0405;Digne-les-Bains-2;7;12595;13012
93;Provence-Alpes-Côte d'Azur;04;06;0406;Forcalquier;15;11435;11653
93;Provence-Alpes-Côte d'Azur;04;07;0407;Manosque-1;3;12430;12690
93;Provence-Alpes-Côte d'Azur;04;08;0408;Manosque-2;3;10322;10595
93;Provence-Alpes-Côte d'Azur;04;09;0409;Manosque-3;3;12383;12785
93;Provence-Alpes-Côte d'Azur;04;10;0410;Oraison;3;14420;14681
93;Provence-Alpes-Côte d'Azur;04;11;0411;Reillanne;21;11131;11322
93;Provence-Alpes-Côte d'Azur;04;12;0412;Riez;26;8995;9240
93;Provence-Alpes-Côte d'Azur;04;13;0413;Seyne;34;8442;8641
93;Provence-Alpes-Côte d'Azur;04;14;0414;Sisteron;15;13272;13702
93;Provence-Alpes-Côte d'Azur;04;15;0415;Valensole;10;9082;9248
93;Provence-Alpes-Côte d'Azur;05;01;0501;L'Argentière-la-Bessée;8;6582;6771
93;Provence-Alpes-Côte d'Azur;05;02;0502;Briançon-1;10;8681;8898
93;Provence-Alpes-Côte d'Azur;05;03;0503;Briançon-2;4;10266;10592
