DEPP;CODCOMP;COMP;Commune pôle;DEP;CODCOM;COM;Commune;PMUN;PCAP;PTOT
01;015;01015;Arboys en Bugey;01;015;01015;Arbignieu;559;9;568
01;025;01025;Bâgé-Dommartin;01;025;01025;Bâgé-la-Ville;3172;72;3244
01;033;01033;Valserhône;01;033;01033;Bellegarde-sur-Valserine;11101;207;11308
01;036;01036;Valromey-sur-Séran;01;036;01036;Belmont-Luthézieu;611;12;623
01;138;01138;Culoz-Béon;01;039;01039;Béon;426;7;433
01;453;01453;Arvière-en-Valromey;01;059;01059;Brénaz;101;2;103
01;080;01080;Champdor-Corcelles;01;080;01080;Champdor;447;12;459
01;033;01033;Valserhône;01;091;01091;Châtillon-en-Michaille;3987;74;4061
01;453;01453;Arvière-en-Valromey;01;097;01097;Chavornay;200;4;204
01;080;01080;Champdor-Corcelles;01;119;01119;Corcelles;208;3;211
01;262;01262;Montluel;01;120;01120;Cordieux;531;8;539
01;185;01185;Plateau d'Hauteville;01;122;01122;Cormaranche-en-Bugey;789;60;849
01;130;01130;Bresse Vallons;01;130;01130;Cras-sur-Reyssouze;1523;19;1542
01;426;01426;Val-Revermont;01;137;01137;Cuisiat;577;13;590
01;138;01138;Culoz-Béon;01;138;01138;Culoz;2990;62;3052
01;025;01025;Bâgé-Dommartin;01;144;01144;Dommartin;885;29;914
01;130;01130;Bresse Vallons;01;154;01154;Étrez;870;20;890
01;338;01338;Groslée-Saint-Benoit;01;182;01182;Groslée;320;8;328
01;185;01185;Plateau d'Hauteville;01;185;01185;Hauteville-Lompnes;3603;90;3693
01;185;01185;Plateau d'Hauteville;01;186;01186;Hostiaz;92;2;94
01;204;01204;Le Poizat-Lalleyriat;01;204;01204;Lalleyriat;253;6;259
01;033;01033;Valserhône;01;205;01205;Lancrans;1074;20;1094
01;215;01215;Surjoux-Lhopital;01;215;01215;Lhôpital;45;2;47
01;453;01453;Arvière-en-Valromey;01;218;01218;Lochieu;82;1;83
01;036;01036;Valromey-sur-Séran;01;221;01221;Lompnieu;135;1;136
01;286;01286;Parves et Nattages;01;271;01271;Nattages;587;24;611
01;286;01286;Parves et Nattages;01;286;01286;Parves;356;13;369
01;204;01204;Le Poizat-Lalleyriat;01;300;01300;Le Poizat;487;13;500
01;426;01426;Val-Revermont;01;312;01312;Pressiat;255;1;256
01;245;01245;Bohas-Meyriat-Rignat;01;324;01324;Rignat;273;7;280
01;338;01338;Groslée-Saint-Benoit;01;338;01338;Saint-Benoît;912;18;930
01;015;01015;Arboys en Bugey;01;340;01340;Saint-Bois;129;2;131
01;215;01215;Surjoux-Lhopital;01;413;01413;Surjoux;95;2;97
01;036;01036;Valromey-sur-Séran;01;414;01414;Sutrieu;223;5;228
01;185;01185;Plateau d'Hauteville;01;417;01417;Thézillieu;306;6;312
