REG;Région;DEP;CODCOM;Commune;CODFRAC_CAN;FRAC_CAN;Fraction cantonale;PMUN;PCAP;PTOT
84;Auvergne-Rhône-Alpes;01;053;Bourg-en-Bresse;05;0105305;Bourg-en-Bresse-1;28858;1043;29901
84;Auvergne-Rhône-Alpes;01;053;Bourg-en-Bresse;06;0105306;Bourg-en-Bresse-2;13207;588;13795
32;Hauts-de-France;02;408;Laon;09;0240809;Laon-1;8575;144;8719
32;Hauts-de-France;02;408;Laon;10;0240810;Laon-2;15491;468;15959
32;Hauts-de-France;02;691;Saint-Quentin;13;0269113;Saint-Quentin-1;18387;433;18820
32;Hauts-de-France;02;691;Saint-Quentin;14;0269114;Saint-Quentin-2;18498;476;18974
32;Hauts-de-France;02;691;Saint-Quentin;15;0269115;Saint-Quentin-3;16110;219;16329
32;Hauts-de-France;02;722;Soissons;16;0272216;Soissons-1;10945;150;11095
32;Hauts-de-France;02;722;Soissons;17;0272217;Soissons-2;17722;503;18225
84;Auvergne-Rhône-Alpes;03;185;Montluçon;09;0318509;Montluçon-1;3725;81;3806
84;Auvergne-Rhône-Alpes;03;185;Montluçon;10;0318510;Montluçon-2;10877;503;11380
84;Auvergne-Rhône-Alpes;03;185;Montluçon;11;0318511;Montluçon-3;9492;197;9689
84;Auvergne-Rhône-Alpes;03;185;Montluçon;12;0318512;Montluçon-4;9223;245;9468
84;Auvergne-Rhône-Alpes;03;190;Moulins;13;0319013;Moulins-1;10340;363;10703
84;Auvergne-Rhône-Alpes;03;190;Moulins;14;0319014;Moulins-2;9004;183;9187
84;Auvergne-Rhône-Alpes;03;310;Vichy;17;0331017;Vichy-1;12041;138;12179
84;Auvergne-Rhône-Alpes;03;310;Vichy;18;0331018;Vichy-2;13661;177;13838
93;Provence-Alpes-Côte d'Azur;04;070;Digne-les-Bains;04;0407004;Digne-les-Bains-1;10927;558;11485
93;Provence-Alpes-Côte d'Azur;04;070;Digne-les-Bains;05;0407005;Digne-les-Bains-2;6767;295;7062
93;Provence-Alpes-Côte d'Azur;04;112;Manosque;07;0411207;Manosque-1;8267;141;8408
93;Provence-Alpes-Côte d'Azur;04;112;Manosque;08;0411208;Manosque-2;6972;198;7170
93;Provence-Alpes-Côte d'Azur;04;112;Manosque;09;0411209;Manosque-3;7568;278;7846
93;Provence-Alpes-Côte d'Azur;05;023;Briançon;02;0502302;Briançon-1;1911;40;1951
93;Provence-Alpes-Côte d'Azur;05;023;Briançon;03;0502303;Briançon-2;8837;271;9108
93;Provence-Alpes-Côte d'Azur;05;061;Gap;06;0506106;Gap-1;10192;229;10421
93;Provence-Alpes-Côte d'Azur;05;061;Gap;07;0506107;Gap-2;10458;533;10991
93;Provence-Alpes-Côte d'Azur;05;061;Gap;08;0506108;Gap-3;10426;249;10675
93;Provence-Alpes-Côte d'Azur;05;061;Gap;09;0506109;Gap-4;9580;393;9973
93;Provence-Alpes-Côte d'Azur;06;004;Antibes;01;0600401;Antibes-1;11223;95;11318
93;Provence-Alpes-Côte d'Azur;06;004;Antibes;02;0600402;Antibes-2;31239;231;31470
93;Provence-Alpes-Côte d'Azur;06;004;Antibes;03;0600403;Antibes-3;27918;407;28325
93;Provence-Alpes-Côte d'Azur;06;027;Cagnes-sur-Mer;05;0602705;Cagnes-sur-Mer-1;44136;334;44470
93;Provence-Alpes-Côte d'Azur;06;027;Cagnes-sur-Mer;06;0602706;Cagnes-sur-Mer-2;8716;117;8833
93;Provence-Alpes-Côte d'Azur;06;030;Le Cannet;07;0603007;Cannes-1;13634;140;13774
93;Provence-Alpes-Côte d'Azur;06;029;Cannes;07;0602907;Cannes-1;34033;271;34304
93;Provence-Alpes-Côte d'Azur;06;029;Cannes;08;0602908;Cannes-2;40007;509;40516
93;Provence-Alpes-Côte d'Azur;06;030;Le Cannet;09;0603009;Le Cannet;26564;232;26796
93;Provence-Alpes-Côte d'Azur;06;069;Grasse;11;0606911;Grasse-1;18235;269;18504
93;Provence-Alpes-Côte d'Azur;06;069;Grasse;12;0606912;Grasse-2;30434;570;31004
93;Provence-Alpes-Côte d'Azur;06;088;Nice;15;0608815;Nice-1;44845;376;45221
93;Provence-Alpes-Côte d'Azur;06;088;Nice;16;0608816;Nice-2;49805;433;50238
