video_id,video_title,published_at,channel_id,view_count,like_count,comment_count,has_captions,category,tags
ABiUXaLYP3A,UN PILLAGE FRANÇAIS #1 : L'aéroport de Toulouse,2019-07-18T15:45:44Z,UC9hHeywcPBnLglqnQRaNShQ,77340,6999,659,false,Entertainment,aéroport|adp|aéroport de paris|référendum|pillage|france|chinois|vente|bradage|grande braderie|qatar|macron|lemaire|de rugy|état|privatisation|protectionisme|vincy|accord secret|mensonge|casil europe|arnaque|redevance|barrage|autoroutes|péage|français|tatiana ventôse|un pillage français|coralie delaume|cayla|rip|ric|toulouse-blagnac|mauduit|médiapart|scandale|actionnaires|dividendes|occitanie
_pw_D3twQ0o,VERS UNE PÉNURIE DE MÉDICAMENTS ?,2019-07-11T15:30:00Z,UC9hHeywcPBnLglqnQRaNShQ,63465,5003,647,false,Entertainment,médicament|pénurie|rupture|stock|spéculation|industrie|pharmaceutique|buzyn|sécurité sociale|médecin|parkinson|malade|docteur|bicnu|civica|rx|pharmacie|manque|risque|mort|solution|consortium|relocaliser|délocalisation|usine|fabrication|macron|mélenchon|ruffin|marine le pen|indépendance|france|souveraineté|monopole|Martin Shkreli|mondialisation|ue
lam5QHOA5tQ,UE-MERCOSUR : LES ENJEUX DU TRAITÉ,2019-07-04T16:04:55Z,UC9hHeywcPBnLglqnQRaNShQ,58487,4962,680,false,Entertainment,mercosur|agriculture|paysan|nourriture|libre-échange|ue|union européenne|france|souveraineté|suicide|industriel|amazonie|bolsonaro|trump|protectionisme|idéologie|starship|traité|ceta|ttip|canada|europe|marché|bovin|éleveur|dette|ruiné|écologiste|marche pour le climat|jadot|nicolas hulot|macron|effondrement|bac 2019|bug instagram|stranger things
Qc8mBr5C7wc,DÉCRYPTAGE DE LA RÉFORME DU CHÔMAGE,2019-06-27T16:14:41Z,UC9hHeywcPBnLglqnQRaNShQ,84536,6259,852,false,Entertainment,chomage|chomeur|précarité|étudiant|petit|job|candidature|cv|entretien|embauche|offre|pole emploi|pénicaud|réforme|indemnisation|tuto|nouvelles mesures|macron|chômage|france|pauvre|travailleur|assurance chômage|robot|futur|emploi|travail|senior|mac donald's|amazon|carrefour|interim|tatiana ventôse|parasites|bong joon ho|patron|attente|précaire|cdd|cdi|cadre|indemnité|baisse|hausse|lapsus|usul|entre guillemets
euJHZKj1hXo,PERPIGNAN-RUNGIS : DES CAMIONS À LA PLACE DES TRAINS ?,2019-06-23T08:10:29Z,UC9hHeywcPBnLglqnQRaNShQ,45542,4187,342,false,Entertainment,rungis|perpignan|ligne|train|primeur|camion|poid lourd|pollution|air|embouteillage|route|planète|climat|dérèglement|effondrement|pétrole|taxe|voiture|gilets jaunes|carbone|hypocrisie|culpabilisation|écologiste|jean vincent placé|de rugis|make our planet great again|macron|grenelle|cop 21|animaux|protection|petits gestes|quotidien|nicolas hulot|lobby|lobbies|sncf|tatiana ventose|mr mondialisation|feuillage|on est pret|partager c'est sympa
XvRkW4y8m7w,AÉROPORTS : COMMENT EMPÊCHER UNE ARNAQUE D'ÉTAT,2019-06-20T15:18:17Z,UC9hHeywcPBnLglqnQRaNShQ,50818,4685,554,false,Entertainment,aéroport|référendum|bug|site|plateforme|pétition|adp|privatisation|sabotage|vinci|autoroute|pillage|france|bradage|finance|dividende|libéraux|traitre|ue|avion|air france|milliards|péage|augmentation|tarif|hausse|dette|gouvernement|macron|gilets jaunes|gj|acte|referendum|bac|résultats|révision|match
mb7fH-usrBs,UN RÉFÉRENDUM POUR NOS AÉROPORTS ?,2019-05-31T08:30:00Z,UC9hHeywcPBnLglqnQRaNShQ,53143,4159,441,false,Entertainment,aéroport|adp|braderie|pillage|france|français|arabie saoudite|macron|privatisation|edf|gdf|engie|la française des jeux|redevance|autoroute|tarif|prix|hausse|pouvoir d'achat|gilets jaunes|péage|augmentation|vinci|édouard philippe|bruno le maire|tatiana ventôse|on a infiltré la commission|ue|référendum|de paris|orly|roissy|rip|sénat|privé|ric|referendum
_JKKgy4NOWc,ON A INFILTRÉ LA COMMISSION EUROPÉENNE,2019-05-21T16:26:24Z,UC9hHeywcPBnLglqnQRaNShQ,358761,16616,4855,false,Entertainment,union européenne|élection|commission|fake news|désinformation|obama|démocratie|liberté|youtuber|politique|europe|juncker|évasion fiscale|luxleaks|reportage|élise lucet|cash investigation|investigation|les coulisses|france|souveraineté|game of thrones|exclusif|scandale|censure|usul|je suis pas content|ue|urss|1984|orwell|dictature|thinkerview|vincent lapierre
jSic9tOJaS0,[ TEASER ] : ON A INFILTRÉ LA COMMISSION EUROPÉENNE,2019-05-16T18:53:35Z,UC9hHeywcPBnLglqnQRaNShQ,11901,725,77,false,Entertainment,union européenne|élection|ue|vote|asselineau|upr|juncker|bruxelles|moscovici|ceta|migrants|europe|macron|26 mai|commission européenne|dumping|teaser|influenceur|youtuber|propagande|rt|russia today|marianne|polony|coulisses|lobby|castaner|nadine morano|reportage|exclu|thinkerview|marine le pen|mélenchon|france insoumise|ruffin|bilal hassani|game of thrones|pokemon détective
I3kGufA1ZQo,FRANCE TÉLÉCOM : LE MANAGEMENT ABSURDE,2019-05-09T18:36:55Z,UC9hHeywcPBnLglqnQRaNShQ,74513,4497,455,false,Entertainment,orange|france télécom|france telecom|procès|france|ordonnances|macron|pénicaud|harcèlement moral|didier lombard|syndicat|ghosn|japon|prison|financier|cac 40|multinationale|bankster|délinquant|barberot|management|next|crash|départs|licenciement|libéralisme|économie|logique|psychologie|travail|maladie|burn out|burn-out|épuisement|manager|privatisation|aéroport|française des jeux|autoroute|nation|marine le pen|mélenchon|mobile|réseau|forfait|métier|sens|loi travail
adkH24kxeGA,ANNONCES DE MACRON : POUDRE DE PERLIMPINPIN ?,2019-05-03T08:52:15Z,UC9hHeywcPBnLglqnQRaNShQ,69827,4542,489,false,Entertainment,macron|conférence de presse|france|adp|aéroport|françaises des jeux|impôts|annonces|gilets jaunes|acte|gj|gouvernement|edouard philippe|manipulation|propagande|corée du nord|bfmtv|retraite|hôpitaux|fermeture|rural|campagne|1er mai|union européenne|ue|effondrement|tatiana ventôse|lerm|nadine morano|schiappa|sibeth|darmanin|je suis pas content|dette|redevance|télé|hanouna|prank|taylor swift|game of thrones|nouvel épisode
itQWkAIKeZg,NOTRE-DAME EN FLAMMES : POURQUOI NOUS SOMMES TRISTES ?,2019-04-18T16:30:08Z,UC9hHeywcPBnLglqnQRaNShQ,52423,2791,725,false,Entertainment,notre dame|paris|france|incendie|français|tristesse|choc|victor hugo|architecture|batisseur|destruction|histoire|de gaulle|napoléon|philippe bel|chrétieneté|jésus|cathédrale|assassin creed's|pompier|rebatir|reconstruction|notre-dame|notre dame de paris|momument de france|compagnon|charpentier|ouvrier|artisan|tatiana ventôse
YU0c_DcfOOQ,"AÉROPORTS BRADÉS, U.E ANTIDÉMOCRATIQUE ? Coralie Delaume & David Cayla",2019-04-14T08:30:02Z,UC9hHeywcPBnLglqnQRaNShQ,38537,1773,427,false,Entertainment,union européenne|ue|élections|macron|coralie delaume|david cayla|juncker|junker|barroso|commission|allemagne|moscovici|merkel|europe|économie|aéroport de paris|adp|vente|bradarie|le bon coin|française des jeux|engie|barrage|électrique|edf|service public|démocratie|ric|gilets jaunes|débat|grand|mascarade|manipulation|propagande|frexit|brexit|lettre|usa|trump|russie|poutine|angleterre|antidémocratie|didacture|européenne|Aya Nakamura|le roi lion
